ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10416691,HZ154506,2/16/2016 13:30,015XX W 95TH ST,560,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,2213,22,21,73,08A,1167527,1841720,2016,2/10/2018 15:50,41.72122394,-87.6619807,"(41.721223939, -87.661980699)"
10416695,HZ154634,2/17/2016 11:15,034XX W WILSON AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1723,17,33,14,08A,1152455,1930350,2016,2/10/2018 15:50,41.96474492,-87.71484914,"(41.964744922, -87.714849143)"
10416735,HZ154495,2/15/2016 18:30,070XX S LOWE AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,732,7,6,68,08A,1173186,1858153,2016,2/10/2018 15:50,41.76619527,-87.64076851,"(41.766195265, -87.64076851)"
10416744,HZ154291,2/17/2016 7:47,102XX S LA SALLE ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,511,5,9,49,08A,1177075,1837101,2016,2/10/2018 15:50,41.70833913,-87.62714717,"(41.708339128, -87.627147167)"
10416748,HZ138883,2/3/2016 12:00,044XX W WILCOX ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1113,11,28,26,08A,1146887,1898970,2016,2/10/2018 15:50,41.87874365,-87.73612491,"(41.878743645, -87.736124908)"
10416842,HZ154737,2/17/2016 13:38,008XX W LAKE ST,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,1214,12,27,28,04A,1170603,1901660,2016,2/10/2018 15:50,41.88563933,-87.64896582,"(41.885639332, -87.648965823)"
10416858,HZ154682,2/17/2016 11:05,043XX W WASHINGTON BLVD,560,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,1115,11,28,26,08A,1147484,1900142,2016,2/10/2018 15:50,41.88194833,-87.73390276,"(41.881948328, -87.733902763)"
10416863,HZ154616,2/15/2016 23:45,030XX E 81ST ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,422,4,7,46,08A,1197758,1851843,2016,2/10/2018 15:50,41.74830198,-87.55091523,"(41.748301975, -87.550915232)"
10416902,HZ154608,2/17/2016 10:30,016XX N WHIPPLE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1421,14,26,23,7,1155711,1910816,2016,2/10/2018 15:50,41.91107711,-87.70340538,"(41.911077106, -87.703405382)"
10416917,HZ154761,2/17/2016 13:45,002XX W PERSHING RD,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,925,9,3,37,04A,1175195,1879099,2016,2/10/2018 15:50,41.82362859,-87.63277918,"(41.823628586, -87.632779182)"
